RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,ZACH MCKINSTRY,HITTER,PHI,4.0,3.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ZACH NETO,HITTER,MIN,4.0,3.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ZACK SHORT,HITTER,BOS,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,A.J. MINTER,PITCHER,BOS,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
2026-07-10,AARON ASHBY,PITCHER,PIT,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0
2026-07-10,AARON CIVALE,PITCHER,CWS,,,,,,,1,,,,,,,,,,MLB_PITCHING_RESULTS.csv,2.1,7.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,7.0
2026-07-10,AARON NOLA,PITCHER,DET,,,,,,,2,,,,,,,,,,MLB_PITCHING_RESULTS.csv,5.0,15.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,33.0
2026-07-10,ALEX VESIA,PITCHER,AZ,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
2026-07-10,ANDREW KITTREDGE,PITCHER,KC,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
2026-07-10,ANDREW MORRIS,PITCHER,LAA,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
2026-07-10,ANTONIO SENZATELA,PITCHER,SF,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
2026-07-10,BEAU BRIESKE,PITCHER,PHI,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
2026-07-10,BRANDON SPROAT,PITCHER,PIT,,,,,,,2,,,,,,,,,,MLB_PITCHING_RESULTS.csv,3.0,9.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,12.0
2026-07-10,BRANDON YOUNG,PITCHER,KC,,,,,,,1,,,,,,,,,,MLB_PITCHING_RESULTS.csv,7.0,21.0,5.0,3.0,8.0,2.0,0.0,0.0,1.0,31.0
2026-07-10,BRANDYN GARCIA,PITCHER,LAD,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-10,BRAXTON ASHCRAFT,PITCHER,MIL,,,,,,,2,,,,,,,,,,MLB_PITCHING_RESULTS.csv,5.0,15.0,6.0,5.0,5.0,2.0,0.0,0.0,0.0,18.0
2026-07-10,BRENNAN BERNARDINO,PITCHER,SF,,,,,,,1,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2026-07-10,BROCK BURKE,PITCHER,CHC,,,,,,,0,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
2026-07-10,BROCK STEWART,PITCHER,AZ,,,,,,,1,,,,,,,,,,MLB_PITCHING_RESULTS.csv,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0
